order_id,product_id,quantity,discount_pct
O000001,P0028,2,0.1
O000001,P0016,2,0.0
O000001,P0024,1,0.0
O000001,P0018,1,0.2
O000002,P0001,1,0.1
O000003,P0005,1,0.1
O000004,P0004,1,0.0
O000004,P0002,2,0.0
O000004,P0005,1,0.05
O000005,P0027,2,0.1
O000005,P0004,3,0.1
O000005,P0017,1,0.05
O000005,P0029,2,0.1
O000005,P0010,1,0.05
O000006,P0018,1,0.0
O000006,P0012,1,0.0
O000006,P0008,2,0.1
O000007,P0021,1,0.0
O000007,P0002,3,0.0
O000007,P0030,3,0.05
O000008,P0011,3,0.05
O000009,P0018,1,0.0
O000009,P0008,1,0.1
O000009,P0014,1,0.1
O000009,P0026,2,0.1
O000010,P0017,1,0.05
O000010,P0014,2,0.1
O000010,P0015,1,0.0
O000011,P0007,1,0.0
O000012,P0009,2,0.1
O000012,P0010,4,0.05
O000012,P0023,2,0.0
O000012,P0018,3,0.0
O000013,P0018,1,0.05
O000013,P0020,3,0.05
O000013,P0002,3,0.0
O000014,P0013,1,0.0
O000014,P0025,1,0.1
O000014,P0029,1,0.0
O000015,P0009,1,0.05
O000016,P0024,1,0.05
O000016,P0026,1,0.05
O000017,P0006,1,0.05
O000018,P0014,2,0.0
O000018,P0021,1,0.05
O000019,P0006,1,0.1
O000019,P0020,2,0.05
O000020,P0013,4,0.1
O000021,P0023,1,0.1
O000021,P0002,1,0.05
O000021,P0006,4,0.0
O000021,P0008,1,0.2
O000022,P0019,1,0.05
O000023,P0015,3,0.05
O000023,P0024,1,0.0
O000023,P0029,2,0.1
O000024,P0021,2,0.05
O000024,P0010,1,0.05
O000024,P0025,1,0.05
O000025,P0013,2,0.0
O000026,P0011,1,0.1
O000026,P0030,3,0.0
O000026,P0029,2,0.15
O000027,P0004,3,0.05
O000028,P0005,2,0.15
O000029,P0009,1,0.1
O000029,P0013,1,0.05
O000029,P0021,2,0.0
O000030,P0014,2,0.05
O000030,P0016,1,0.1
O000030,P0001,1,0.0
O000031,P0013,1,0.0
O000032,P0016,1,0.15
O000032,P0009,1,0.0
O000033,P0027,1,0.0
O000033,P0028,1,0.1
O000034,P0023,1,0.0
O000034,P0029,1,0.0
O000034,P0030,1,0.0
O000035,P0007,2,0.05
O000035,P0029,1,0.1
O000036,P0027,1,0.2
O000036,P0020,4,0.05
O000037,P0022,2,0.0
O000037,P0010,1,0.1
O000037,P0007,2,0.2
O000038,P0017,1,0.05
O000038,P0011,1,0.05
O000038,P0015,1,0.1
O000039,P0023,1,0.0
O000040,P0029,1,0.05
O000041,P0007,3,0.0
O000041,P0027,1,0.0
O000041,P0003,1,0.05
O000042,P0013,2,0.0
O000043,P0030,1,0.05
O000043,P0009,1,0.0
O000044,P0004,2,0.0
O000045,P0004,1,0.0
O000045,P0022,3,0.05
O000046,P0022,1,0.15
O000046,P0006,1,0.2
O000046,P0017,2,0.1
O000046,P0012,1,0.1
O000047,P0017,3,0.05
O000047,P0014,1,0.05
O000048,P0028,1,0.1
O000049,P0003,2,0.1
O000049,P0011,1,0.0
O000050,P0009,1,0.05
O000050,P0014,1,0.2
O000051,P0018,1,0.05
O000052,P0022,1,0.1
O000052,P0013,1,0.15
O000053,P0028,1,0.15
O000053,P0005,1,0.0
O000053,P0001,1,0.0
O000053,P0006,3,0.05
O000054,P0018,2,0.0
O000054,P0023,3,0.1
O000054,P0022,3,0.0
O000054,P0030,1,0.05
O000055,P0023,1,0.1
O000055,P0028,1,0.2
O000056,P0010,3,0.05
O000056,P0026,4,0.0
O000057,P0012,2,0.0
O000058,P0026,1,0.0
O000058,P0007,2,0.1
O000059,P0020,2,0.1
O000059,P0007,4,0.15
O000060,P0015,1,0.2
O000060,P0026,1,0.0
O000061,P0001,1,0.2
O000062,P0025,3,0.05
O000062,P0013,1,0.1
O000062,P0005,1,0.0
O000063,P0010,1,0.05
O000063,P0024,2,0.1
O000064,P0010,1,0.05
O000064,P0019,2,0.15
O000065,P0027,1,0.0
O000066,P0016,1,0.15
O000066,P0003,2,0.0
O000067,P0005,1,0.0
O000067,P0016,1,0.0
O000067,P0004,1,0.0
O000068,P0028,1,0.0
O000069,P0011,1,0.15
O000070,P0011,3,0.0
O000070,P0027,4,0.05
O000070,P0026,1,0.05
O000070,P0025,1,0.15
O000071,P0027,3,0.05
O000071,P0021,2,0.1
O000072,P0006,1,0.05
O000073,P0021,2,0.0
O000074,P0026,1,0.0
O000074,P0003,3,0.1
O000074,P0029,4,0.2
O000075,P0026,1,0.0
O000075,P0024,2,0.05
O000076,P0023,1,0.0
O000077,P0024,1,0.2
O000077,P0016,2,0.0
O000077,P0017,2,0.2
O000078,P0025,1,0.0
O000078,P0022,1,0.15
O000079,P0012,1,0.0
O000079,P0009,2,0.0
O000080,P0003,3,0.0
O000080,P0014,3,0.0
O000081,P0030,2,0.05
O000082,P0006,1,0.2
O000083,P0023,1,0.05
O000083,P0020,2,0.0
O000083,P0002,1,0.0
O000083,P0012,4,0.0
O000084,P0009,1,0.1
O000084,P0013,4,0.1
O000085,P0011,1,0.05
O000086,P0010,1,0.0
O000086,P0011,1,0.05
