order_id,customer_id,order_date,status
O000001,C00593,2024-06-20,Completed
O000002,C00056,2024-10-20,Completed
O000003,C00517,2024-05-15,Completed
O000004,C00358,2025-08-28,Completed
O000005,C00068,2024-12-17,Returned
O000006,C00707,2024-02-25,Completed
O000007,C01091,2024-08-27,Completed
O000008,C00647,2025-06-26,Completed
O000009,C00885,2025-09-17,Cancelled
O000010,C00400,2025-06-16,Completed
O000011,C00213,2025-12-02,Completed
O000012,C00049,2025-09-26,Completed
O000013,C01160,2024-07-08,Completed
O000014,C00875,2025-12-09,Completed
O000015,C00124,2024-09-21,Cancelled
O000016,C00411,2025-09-16,Completed
O000017,C00218,2025-03-28,Completed
O000018,C00514,2025-04-01,Completed
O000019,C00311,2025-12-17,Completed
O000020,C00828,2024-03-12,Completed
O000021,C00988,2024-05-04,Completed
O000022,C00165,2025-04-15,Completed
O000023,C00787,2025-11-07,Completed
O000024,C00287,2024-02-06,Completed
O000025,C00921,2024-01-17,Completed
O000026,C00243,2024-08-04,Completed
O000027,C00076,2024-05-24,Completed
O000028,C00498,2025-12-19,Completed
O000029,C00200,2025-04-12,Completed
O000030,C00416,2025-03-12,Completed
O000031,C00437,2024-02-16,Completed
O000032,C00851,2024-06-21,Completed
O000033,C00771,2024-06-10,Completed
O000034,C00582,2025-03-02,Completed
O000035,C00358,2025-09-17,Completed
O000036,C00617,2024-12-22,Completed
O000037,C01106,2025-06-03,Completed
O000038,C00972,2025-05-24,Completed
O000039,C00929,2024-02-14,Completed
O000040,C00060,2025-05-11,Completed
O000041,C01188,2024-11-29,Completed
O000042,C00410,2025-01-19,Completed
O000043,C00893,2024-05-28,Completed
O000044,C00735,2024-10-03,Completed
O000045,C00280,2024-04-23,Completed
O000046,C00349,2025-08-14,Returned
O000047,C00506,2024-09-10,Completed
O000048,C00011,2025-03-03,Returned
O000049,C00069,2025-03-11,Completed
O000050,C01144,2024-01-13,Completed
O000051,C00033,2025-05-06,Completed
O000052,C01196,2024-01-25,Returned
O000053,C00951,2025-12-21,Completed
O000054,C00425,2025-12-02,Completed
O000055,C00749,2025-01-10,Completed
O000056,C00489,2025-07-06,Completed
O000057,C00462,2024-11-24,Completed
O000058,C00130,2025-01-16,Completed
O000059,C01092,2024-10-26,Completed
O000060,C00386,2025-04-13,Completed
O000061,C00230,2025-12-14,Completed
O000062,C00047,2024-10-27,Completed
O000063,C00046,2024-08-25,Completed
O000064,C00996,2025-08-30,Completed
O000065,C00628,2024-06-24,Completed
O000066,C00097,2024-05-31,Completed
O000067,C00360,2025-12-26,Completed
O000068,C00378,2024-07-29,Completed
O000069,C00764,2025-04-04,Completed
O000070,C00829,2025-05-26,Completed
O000071,C01175,2025-11-13,Completed
O000072,C00083,2024-05-22,Completed
O000073,C00452,2025-04-01,Completed
O000074,C01079,2024-08-15,Completed
O000075,C00808,2024-07-18,Completed
O000076,C00876,2025-01-13,Completed
O000077,C00913,2025-07-28,Completed
O000078,C00869,2025-02-28,Completed
O000079,C00687,2024-03-08,Cancelled
O000080,C00359,2025-07-23,Completed
O000081,C01005,2024-02-13,Completed
O000082,C00950,2024-08-17,Completed
O000083,C00968,2024-05-07,Completed
O000084,C00741,2025-08-18,Completed
O000085,C00765,2025-06-08,Completed
O000086,C00300,2024-11-23,Completed
O000087,C00598,2025-06-26,Completed
O000088,C00194,2025-09-05,Completed
O000089,C00743,2024-04-08,Completed
O000090,C00844,2024-12-14,Cancelled
O000091,C00386,2025-07-26,Completed
O000092,C00157,2024-04-29,Completed
O000093,C00624,2024-01-30,Completed
O000094,C00465,2024-11-10,Completed
O000095,C00229,2024-03-20,Completed
O000096,C00122,2025-04-25,Completed
O000097,C00198,2024-05-06,Cancelled
O000098,C00720,2024-01-30,Completed
O000099,C00496,2025-06-01,Completed
O000100,C00445,2024-07-15,Cancelled
O000101,C00203,2024-08-07,Cancelled
O000102,C01054,2024-08-21,Completed
O000103,C00084,2024-03-25,Completed
O000104,C00639,2025-12-04,Returned
O000105,C00143,2025-05-02,Cancelled
O000106,C01071,2025-11-05,Completed
O000107,C00209,2024-06-21,Completed
O000108,C00820,2024-12-30,Completed
O000109,C00222,2024-05-05,Completed
O000110,C00140,2025-05-25,Completed
O000111,C01020,2025-05-17,Completed
O000112,C00882,2024-05-01,Completed
O000113,C00068,2024-06-30,Completed
O000114,C01135,2025-12-02,Completed
O000115,C00774,2025-09-23,Completed
O000116,C01196,2024-01-28,Completed
O000117,C00116,2025-11-08,Completed
O000118,C00135,2024-11-08,Completed
O000119,C00866,2025-08-04,Completed
O000120,C01169,2025-02-03,Completed
O000121,C00422,2024-12-10,Completed
O000122,C00155,2025-07-02,Completed
O000123,C00463,2025-10-01,Completed
O000124,C00690,2024-10-06,Completed
O000125,C00887,2025-11-10,Completed
O000126,C00929,2025-11-18,Completed
O000127,C00383,2025-08-13,Completed
O000128,C00889,2025-08-02,Completed
O000129,C00493,2024-06-03,Completed
O000130,C00547,2024-10-20,Completed
O000131,C00233,2024-06-02,Completed
O000132,C01147,2025-03-22,Completed
O000133,C00996,2024-01-21,Completed
O000134,C00288,2024-08-29,Completed
O000135,C00185,2024-08-31,Completed
O000136,C00447,2024-05-27,Completed
O000137,C00115,2025-05-17,Completed
O000138,C00297,2025-01-06,Completed
O000139,C00112,2025-12-08,Cancelled
O000140,C01096,2024-08-30,Completed
O000141,C00185,2024-08-29,Completed
O000142,C01007,2025-04-27,Completed
O000143,C01122,2024-11-30,Completed
O000144,C00909,2025-10-18,Completed
O000145,C01058,2025-12-31,Cancelled
O000146,C00274,2024-09-23,Completed
O000147,C00806,2025-01-21,Cancelled
O000148,C00346,2024-02-20,Completed
O000149,C00241,2024-01-15,Completed
O000150,C00417,2024-07-14,Cancelled
O000151,C00580,2025-11-24,Completed
O000152,C00537,2024-08-29,Completed
O000153,C00786,2025-12-26,Completed
O000154,C00965,2024-12-28,Returned
O000155,C00760,2024-05-15,Cancelled
O000156,C00959,2024-05-15,Completed
O000157,C00576,2025-01-04,Cancelled
O000158,C00541,2025-06-13,Completed
O000159,C00305,2024-02-25,Completed
O000160,C00894,2024-04-28,Returned
O000161,C00192,2024-07-27,Completed
O000162,C00559,2025-07-30,Completed
O000163,C00853,2024-03-19,Completed
O000164,C00250,2025-02-07,Completed
O000165,C00012,2024-12-03,Cancelled
O000166,C00433,2024-02-19,Completed
O000167,C01121,2025-09-08,Completed
O000168,C00427,2024-06-15,Completed
O000169,C00886,2024-11-13,Completed
O000170,C00913,2025-02-01,Completed
O000171,C00890,2025-10-07,Completed
O000172,C00460,2025-10-25,Completed
O000173,C01075,2024-03-26,Completed
O000174,C00616,2024-09-11,Completed
O000175,C00093,2025-06-09,Completed
O000176,C00522,2025-08-22,Completed
O000177,C00805,2024-02-16,Completed
O000178,C00384,2024-08-04,Completed
O000179,C00352,2025-11-02,Completed
O000180,C00739,2025-12-08,Completed
O000181,C00386,2024-01-28,Completed
O000182,C00391,2024-03-29,Completed
O000183,C00912,2025-05-11,Completed
O000184,C00852,2025-05-22,Completed
O000185,C01000,2024-08-25,Completed
O000186,C00855,2025-04-29,Completed
O000187,C00394,2025-04-25,Completed
O000188,C00695,2025-09-08,Completed
O000189,C00738,2025-04-28,Completed
O000190,C01008,2024-04-13,Completed
O000191,C01032,2024-02-02,Completed
